Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1
1,2.4979435770135177,2.3206586837768555,0.13377926421404682,0.21739130434782608,0.07386381583136525,0.13065926353207946
2,2.2914621077085795,2.140996688290646,0.23745819397993312,0.3110367892976589,0.15151155474750472,0.17771092370634706
3,2.1639317148610164,2.083487962421618,0.2976588628762542,0.35451505016722407,0.18374952422351798,0.2220039375058095
4,2.1204392219844617,2.043186256760045,0.35785953177257523,0.3779264214046823,0.23920523163860594,0.2384464209575448
5,2.0945800103639303,2.0441111451701115,0.3411371237458194,0.3779264214046823,0.22787165764746742,0.2396782946211273
